city,test_rows,rmse,mae,r2
Lagos,17543,0.355,0.245,0.9747
Karachi,17543,0.398,0.276,0.9938
Mumbai,17543,0.452,0.317,0.98
Jakarta,17543,0.49,0.348,0.9666
Miami,17543,0.514,0.356,0.9814
Rotterdam,17543,0.532,0.387,0.9926
Nairobi,17543,0.549,0.384,0.977
Dhaka,17543,0.583,0.38,0.9874
Madrid,17543,0.587,0.419,0.9957
Cairo,17543,0.588,0.419,0.9948
Moscow,17543,0.592,0.424,0.9959
Riyadh,17543,0.593,0.427,0.9962
Tokyo,17543,0.606,0.413,0.995
Sao_Paulo,17543,0.633,0.418,0.9816
Delhi,17543,0.648,0.428,0.9942
Cape_Town,17543,0.695,0.452,0.9698
Sydney,17543,0.718,0.492,0.9827
Phoenix,17543,0.742,0.531,0.9952
Chicago,17543,0.767,0.517,0.9949
Ulaanbaatar,17543,1.119,0.779,0.9934
