city,test_rows,rain_pct,f1,auc,recall
Cairo,17544,0.12,1.0,1.0,1.0
Cape_Town,17544,1.98,1.0,1.0,1.0
Tokyo,17544,5.27,1.0,1.0,1.0
Sydney,17544,2.64,1.0,1.0,1.0
Sao_Paulo,17544,3.61,1.0,1.0,1.0
Rotterdam,17544,2.4,1.0,1.0,1.0
Riyadh,17544,0.15,1.0,1.0,1.0
Phoenix,17544,0.91,1.0,1.0,1.0
Nairobi,17544,3.7,1.0,1.0,1.0
Mumbai,17544,7.87,1.0,1.0,1.0
Moscow,17544,1.4,1.0,1.0,1.0
Miami,17544,4.04,1.0,1.0,1.0
Madrid,17544,1.39,1.0,1.0,1.0
Lagos,17544,2.95,1.0,1.0,1.0
Karachi,17544,0.56,1.0,1.0,1.0
Jakarta,17544,6.73,1.0,1.0,1.0
Dhaka,17544,5.22,1.0,1.0,1.0
Delhi,17544,1.73,1.0,1.0,1.0
Chicago,17544,3.92,1.0,1.0,1.0
Ulaanbaatar,17544,1.0,1.0,1.0,1.0
